product_title,rating,summary,review
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,1,Terrible product,"Pathetic, don't buy this one"
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Great product,Sound quality is good and battery backup very good I am without charging use 3 days continue battery super. Build quality is very nice. All functions control in earbuds its super only touch and woow magicðŸ¤£ ðŸ˜ƒðŸ˜…ðŸ˜ƒðŸ¤£âœ”ï¸âœ”ï¸âœ”ï¸âœ”ï¸Calling quality is good but sometime usually is few legging but after properly connected no legging issues otherwise this product is very good..value for money this product.. Thanks Flipcart.ðŸ‘ðŸ»
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Terrific purchase,I like the design and build quality of the buds. Liked blutooth 5.1 version. Connectivity is crisp and good. Overall sound quality is good.amazing in the price range of 799. Bass is good enough.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Terrific purchase,"This Earbuds Such a Great Performance in this price worth it product quality of lights, sound, battery backup etc is very excellent I liked this product so much"
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Terrific,Amazing product ðŸ˜ quality is good ðŸ˜‹Sound is also outstanding ðŸ˜ŒðŸ¥°              ðŸ‘‰I like this product ðŸ˜                         Thanks ðŸ¥°ðŸ™
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Must buy!,"The low latency works so fine in gaming mode and gives an amazing experience. Loving this brand, highly recommended"
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,3,Decent product,Medium not too great but battery backup is awesome sometimes audio syn issues persist but ...at this price they are fine...the touch sensors are good better than others...they do not have a customisable touch settings app
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Must buy!,Sound quality is amazing very good product build quality is amazing best product in this price range ðŸ‘ðŸ»
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Excellent,Value for money in this priceI bought it for 750rs and worth it's worth for the pennyBudget earphones are not settling and it's good to seeGo for it without a second thought at this price
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Great buds at this price,"I think Mivi done a great job balancing the highs and lows. The sound quality is great for the price. Call quality is fantastic(it's not a noise cancelling headset but does a great isolation for us). What I really liked is the, announcements when ear bud is connected to Bluetooth, pause when ear bud is removed from your ear and resume function when you put it back to your ear."
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Terrific,I extremely like this product. Colour is attractive. Sound quality is too good. Battery life is more. Very compact to carry and easy to use.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Fabulous!,Absolutely amazing sound quality in this price range its amazing with high quality bass ðŸ˜. Really loved the product ðŸ¤©. Dont just think about it go for it.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,1,Unsatisfactory,"I was actually quite disappointed. After seeing so many good reviews on this product I had so many expectations. It really dn't fulfill the basis expectations. Like if i just move a few inches away it just disconnectsðŸ˜’ My friend too used it and said the same thing. The sound kept breaking while listening to music. And don't even start about receiving calls, I seriously can't answer any call with this. Total disappointment. Only good thing is it's battery which is quite long lasting."
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Worth every penny,Value for money product. The sound is super clear and bass is amazing. The fitting is great and battery backup is superb âœ¨. Overall worth to buy in this price range ðŸ˜ƒ.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Highly recommended,"I just recently purchased this mivi earbud in the blue pastal shade and I am in love with it. It is so much more portable than any other earbud. Besides that it comes with amazing battery backupof about 42 hrs.The look and packaging is pretty good, sound quality is also good. This is really nice a product and currently I am using it all the time."
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Mind-blowing purchase,"It's looks amazing the quality of products is better according to there price sound quality is also good ,,,,I love this"
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Super!,Overall a good product. Sound and bass quality was good too. I liked the case it looks cool. Value for money. Battey performance is quite well
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Brilliant,"My best purchase  duopods. Sound quality  is great with blue  colour . Battery backup is soo great ,  nice built quality and i like the design  too . Go for it ."
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Awesome,It's been 7 day of received this earbuds and I have not a single complain about it . it's   my best purchase of earbud  its so compact in size as compared to other earbud and sound quality is also good and  colour is also preety and it's bettery life is also good . It's affordable too
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Worth every penny,You will love every song you listen. Plus point it is an Indian brand. I just loved it.Very good product with good sound quality and awesome bass wrt price point.Charges fastðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ˜ŒðŸ˜ŒðŸ˜Œ
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Perfect product!,A Perfect earbuds from a Perfect indian brand in this price segment. Mivi's this m30 earbuds is too good. Have good bass and sound quality.Loved it..
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Wonderful,Sounds quality is awesome. I'm using it right now and bass is to good .and it's price also pocket friendly so I'll suggest all to try this once .
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Perfect product!,"Amazing product sound quality is best ,light weight battery backup is also wonderful overall it is a best product of mivi"
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Simply awesome,Very Good Product.âœ“ Decent Sound Quality. âœ“ Great Build Quality. âœ“ Best Ear buds at this range.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Terrific purchase,"I think Mivi done a great job balancing the highs and lows. The sound quality is great for the price. Call quality is fantastic(it's not a noise cancelling headset but does a great isolation for us).What I really liked is the, announcements when ear bud is connected to Bluetooth, pause when ear bud is removed from your ear and resume function when you put it back to your ear.This is a wonderfull product everyone should buy this product."
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Brilliant,The duopods are awesome the sound quality is perfect and within 1000 it's the best product i came across. Everything is perfect
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Terrific,"I was looking for a good earbud,then I came across mivi..And the sound quality is superb.. with such smart case and looks.. m loving it..it's awesome"
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Worth every penny,Nice Mivi Product. Amazing Sound Quality. Good Battery Backup. Overall Nice Performance. Nice Sound Quality.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Simply awesome,"One friend of mine, recommend me Mivi, it is worthy, sweet sound, cool look, good battery backup make it a perfect product. Happy with the purchase"
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Classy product,"Excellent earpods in this price range. Sound quality is  nice and bass too . Battery back up is excellent, consumed only 10% in 1 hour. Overall it's a good choice. You may go for it."
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Terrific,Bass quality is the main attribute of this earbuds. I am very impressed by hearing quality of sound. Amaze to see such bass. Looking fancy and stylish when I put in ears although black color is stylish everywhere. Battery backup is  also a plus point as it provides 42 hrs battery. Overall nice duopods in such range
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Wonderful,"Very amazing  earbuds , nice sound system, with specified waterproof facilities, and high quality sound system provided ,  good range at this price ,2 days battery life, comfortable to wear, nice accessories, I really like this product"
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Best in the market!,"Its good for music, the sound quality is good, pairing works fine. For calls there is a bit disturbance. I tried both the pairs. used single earpad and the calls are better. Overall its good for that price. Quality is good, it fits the ear and the charging is also fast."
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Awesome,This is my recent purchase and oh my my what an amazing product.One of my friend suggested it and i must say it is totally worth buying. The earbuds are of superb quality and comes with such great battery back up .It has 4 beautiful shades and i love it .
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Wonderful,"This is my third product from mivi. I am using this since 10sep. The product is really good,  sound quality is nice and bass is too good with huge battery backup. Totally clarity in making a phone calls.This is beast with this price segment."
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Terrific purchase,Very good quality iam so happy to use the mivi ear buds and battery life in so long time and very good sound quality â˜ºï¸.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Just wow!,I have used this product for 3 days after that I am giving review because this mivi duopods is very good has very melody voice and has a very long lasting battery. It is very good product value for money in this it is very good thanku mivi for this amazing product
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Good Product,I am very very happy to buy this product and I am glad to spent my money on this product This product sound quality is so good and they provide I am in the theater so I am very happy to buy this product Overall a great product
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Super!,Just plug it and immerse into different world. It's sound quality is amazing and bass is also perfect. Battery back up is superb. Build quality is also satisfactory and it gives lavish look.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Terrific purchase,Great quality. The case is easy to carry in a pocket and works fine with a phone.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Great product,Sounds quality is awesome. I'm using it right now and bass is to good and it's price also pocket friendly so I'll suggest all to try this once.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Best in the market!,This earbuds is very awesome. It's sound quality is very good and clear. It's battery backup is also best. It is very comfortable to wear. In this range it is very nice product. Highly recommended.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Best in the market!,"In this price segment its good  absolutely excellent , good durability and sound quality is good. The color and the design is top notch. It feels so good when you hold the case in your hand , it is sleek .Once charged in the charging case, the ear buds work for 6 hrs at least without needing a charge. Noise cancellation is pretty good and also the mic is pretty good. Overall its a good product and I am happy with it."
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Great product,"A great value for money buy with amazing sound quality, it's really loud and has nice bass. It also has 42hrs of battery life, which lasts you a long time.The fit in ear is amazing, it does not get loose even when running.The microphone is also good and u get extra earbuds tips free with it.Highly recommended."
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Best in the market!,Earbuds quality is very nice sound quality is awesome battery backup is nice shape and design is superb over all happy to buy this best product
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Perfect product!,Earbuds are light in weight  design is very attractive and fits in pocket easliy and the sound quality is best in this price range  . Good call quality you can talk easily  and the battery backup is Just too good . Good purchase for me.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Best in the market!,I order it for myself and it is very much useful. Very comfortable and also the battery back up is amazing with great sound quality. Sensors are working fine . Recommend product in this price range.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Just wow!,Bass was superb crystal clear calling Noise cancelling is working properlyA good product in this price pointFEELING PROUD TO USE MADE IN INDIA PRODUCT ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Fabulous!,Sound quality of this duopods m30 is nice and fabulous and this product's calling voice is good and build quality of this product is nice and plastic material of this is strong and beautiful.This product's size is very small.when you go outside you can keep easily this duopods in your pocket
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Best in the market!,Nice product in this price range. Good sound and base is also good with touch sensor. It make use to use it and gives nice battery backup. Used it for 1 week and full satisfied with the mini M30 duopods earbuds.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Perfect product!,"This is the first time I bought pods,before it I just used many pods of my friends.But the kind of Quality Mivi is having in this product is beyond limits, and the best part is the look of these pods is pretty good and I am enjoying using it, don't think any other product in this range can even come close to it"
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Perfect product!,"Very Satisfied With The Product.noise cancellation is really good and in ear grip of the duopods is perfect fit  hence the sound quality is also perfect.I Use almost whole day and just need to Chrg it approximately once in 3 days.while connecting first hold both duopods together for 3secs before connecting to device , because first the pods have to connect with each other.Worth the money and Happy and satisfied that choosing an particular indian brand."
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Super!,I am really impressed with this mivi earpods i really loved this one and the shape is so comfortable and fits in my ear perfectly i doesn't ever feel that they are in my ear and the sound quality is so amazing that I can't even describe in words they are totally a out of box earpods
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Mind-blowing purchase,These are fantastic earbuds with long lasting battery backup. Sound quality is really amazing You can carry them anywhere.Easy to fit in ears and build quality is fantastic.Amazing design with great features.Connectivity is awesome and i am really satisfied with the sound quality.It really fits well in ears and great battery backup.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Fabulous!,"Nice product as sound wise and excellent battery backup, design also good easy to carry,light weight and best product at this price."
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Excellent,This MiviDuoPods M30 earbuds are Superb quality earbuds i have ever used. The bass and sound quality are too good. Mic are also working so fine. And battery life are also good. The build quality are superb in this awesome price range. Thanks Mivi and Flipkart for this amazing product.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Mind-blowing purchase,I really like its color. This blue color looks really amazing just like its sound quality. Battery backup is also great. Best thing is that it is made in India and I totally recommend to buy this. 100% value for money. And i own different Mivi earbuds also. Happy to get good gadgets like this. Thank you MIVI.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Must buy!,Have been using them for some time. The sound quality is very nice with the perfect fit in ears. Value for money and worth a buy.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Super!,I just love the mivi earbuds. Nice design and compact formation. Perfect for everyone. Sound quality is superb. Good purchase.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Highly recommended,"The product was just awesome, beyond my expectations  it has super sound quality, and personally fit in my ears properly. It comes with amazing battery backup of 42 hrs. A worthy product at this range."
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Wonderful,"This Mivi duopods M30 is awesome with good battery backup and easy to connect , sound quality is very nice. Important thing is we can buy this product affordable price.. I really like it.."
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Must buy!,Perfect Earbuds.Just loved the Quality and features of this Earbuds. Amazing Sound Quality and Design looks so amazing while using just perfect fit as earbuds overall Just Best earbuds in this price range.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Simply awesome,"I am  very much like this MIVI DUOPODS M30 Bassbuds. The reason is:(1)Quality is awesome.(2) Battery Backup is unbelievable.(3) This Earbuds Sound quality is amazing . Voice clearity is best. When I played a song feel like natural sound.(4) Bluetooth connectivity is very fast because of blutooth v5.1.(5) It fits my ear nicely.(6) It's very comfortable and light weight.I am so happy with this Earbuds and also I recommend to my friends to buy this.Atlast, Thanks to Flipkart for fast del..."
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Simply awesome,This earphones has good sound as well as looking good the sound quality is awesome and the it has very good battery percentage ðŸ˜ŠðŸ˜Š
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Must buy!,"Audio quality is just so perfect and perfectly balanced bass is so amazing and the battery life is also so good I'm using this product from 2-3 day continuosly 4-5 hours with music and it use only 15 percent of battery ,i surely recommend this product this is value for money ðŸ‘"
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Terrific purchase,Very good quality I am so happy to use the mivi ear buds and sound quality is very excellent and amazing battery backup I love these product
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,4,Delightful,"Pros : it has a good design, easily fits , good sound quality, battery backup is super excellent, its a week and i didn't charge it , still it has 80% battery remaining.Con : connectivity is poor , even if you keep it in pocket, and move your neck , music wil get disturbed ."
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Simply awesome,"I like this, so smooth and not like other earbuds, no want will know that you are using earbuds that's what I like."
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Classy product,"I extremely like this Mivi Suppose M30 product sound quality is too good and battery backup is more excellent price worth it product quality of sound I suggest you all this one is best , loveable and handy thanks"
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Awesome,"Amazing sound quality, huge battery backup and classy looks. Sturdy and fit in ear. A perfect partner of my workout"
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Great product,Sound quality is pretty decent in this price. It gives me clear solid sound and bass. Quite durable for this price. One best quality is that it's battery life is amazing.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Brilliant,It's very cool and comfort gadget  and it's baas is clear and sweet sound other earbuds it's good quality and design I am very happy to buy this product and it's very useful for you and me
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Perfect product!,It is worth it because it is very comfortable to wear easy to carry its bass quality and sound quality is amazing also the battery is very long lasting lasts at least 2 days without charging.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Excellent,Perfectly fits in the ear. The ear tips are soft and don't hurt the ear at all. The colour is the best i loved out of all of the 5 colours. The packaging is very very good and doesn't have any scratches when it came. The touch is also very responsive and helpful.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Best in the market!,Very very nice product and quality is so nice bass is so good and very comfortable in ear connect so fast and very cool and so stylish
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Worth every penny,"This Mivi duopods M30 earbuds are really amazing. I am amazed with the sound quality of itðŸ˜. Feels like listening in a high budget earbuds and the battery backup is also very good.â¤ï¸ The bass is also fabulous ðŸ¤©. But in this price segment it is the best earbuds i haven't seen yet. If you are looking for a budget earbuds , this will be a great choice for you . Thank you â¤ï¸"
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Perfect product!,"This earbuds is worth of money .In this price range it is the best duopod .The sound quality is awesome, battery life is very good. Easily connected with device,fit comfortably in ear .This duopod have first charging"
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Worth every penny,The ear buds are super amazing with a tons of basic features and great sound quality just loved it The buds are very lightweight and fit comfortably in the ears build quality is amazing and seriously I loved the case it feels so satisfying whenever you see the case loved it Sound quality is excellent for the price and and talking about battery you can easily use it for 2 or 3 days if you just use it when you driving and or for listening songs
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Mind-blowing purchase,"This is really nice product. So go for it , highly recommend this product. Really awesome purchase, worthy and comfortable."
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Just wow!,This is the best thing I have ever purchased in this price range. These pods are love. It is very easy to use just follow the manual given. It comes with a cable. This looks very cute and is very easy to carry as well. Just loved the purchase. Go for it.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Brilliant,Mivi duopods are very good quality sounds quality good battery backup excellent worth product in reasonable price.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Simply awesome,Looks Very good. Easy to use. Easy to charge. Sturdy. Very comfortable. Ease connectivity. Good Battery Backup. Great sound Quality. Handy for everyday use. Must buy product.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Super!,Mivi Duopods M30 earbuds is a good product. I am happy to buy this mivi duopods very compact and easy to use... Great sound quality good bass and also can use 42+ hours. @vivek kumar
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Perfect product!,I loved the sound quality of the product. It is a good product at such a price. Worth the money.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Terrific purchase,I purchased this mivi duopods f30 first time and I m happy with it.The sound quality and bass is   best in this price range touch sensitivity and fast pairing also giving best performance. Battery backup is good(one full charge and full day use).These pods are very handy came with a small cute and portable case.overall it's a best earbuds.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Great product,Very very nice product and quality is so nice bass is so good and very comfortable in ear connect so fast and very cool and stylish
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Terrific purchase,"Superb bass, superb sound quality, perfect noise cancellation , very attractive blue color. over all 10 out of 10 for me in this price ."
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Classy product,got the product with out any damage and stunning pods with exact same color as shown above and with long duration of play time with pulsing beat and very comfortable with easy adjustable sound system and portable
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,1,Bad,product completely different from that shown in image
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Simply awesome,The duopods are awesome the bass is awesome the charging capacity is amazing loving it must try product.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Terrific purchase,Very nice earbuds. The sound quality is very good. Sound Bess is very good. Besides that it comes with amazing battery backup of about 42 hrs. Design of earpods are perfect.I will recommend these buds to all
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Highly recommended,Superb quality built and sound superb amazing I like this ðŸ‘‚ burdBass is also very good.Overall you will get good experience while listening to music
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Perfect product!,"Affordable tws with best sound quality and available at reasonable price and its touch sensitive also works very well and battery backup is also good, it's build quality very strong and looks attractive overall satisfied with this duopods"
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Brilliant,The sound is great and the build quality is good love the sleek design and it's super cool . Will definitely recommend
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Just wow!,Budget friendly anyone easily buy this product   sound and base quality are so good battery backup are also good i love this earbuds so much
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Super!,Mivi is my favorite brand. I love all the products of mivi. As the quality of these duopods are superior. I love to listen songs. I will recommend these buds to all
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Terrific,Nice ear pods. Very sleek and beautiful. Black colour matching with all my Dresses. Bluetooth connectivity is fast and automatic. Sound quantity clear. Case is very cute and automatic charger for ear pods. All functions are good and perfectly working.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Mind-blowing purchase,"Mivi is the best , this product is amazingIt's durable, efficient with good bass and amazing sound quality, helps u emmerse into your music !!! Fitting into the ear while working out is slightly less but U can definitely go for it"
